CountryCode,PostalCode,Place,State,StateCode,Latitude,Longtitude,AccuracyType
CA,M1B 1W3,Scarborough,Ontario,ON,43.8115,-79.2359,6
CA,M1B 1W4,Scarborough,Ontario,ON,43.8086,-79.2314,6
CA,M1B 1W5,Scarborough,Ontario,ON,43.809,-79.23,6
CA,M1B 1W6,Scarborough,Ontario,ON,43.8095,-79.2323,6
CA,M1B 1W7,Scarborough,Ontario,ON,43.8087,-79.2323,6
CA,M1B 1W8,Scarborough,Ontario,ON,43.8087,-79.2312,6
CA,M1B 1W9,Scarborough,Ontario,ON,43.8098,-79.2333,6
CA,M1B 1X1,Scarborough,Ontario,ON,43.8103,-79.2335,6
CA,M1B 1X2,Scarborough,Ontario,ON,43.8078,-79.2326,6
CA,M1B 1X3,Scarborough,Ontario,ON,43.8077,-79.2326,6
CA,M1B 1X4,Scarborough,Ontario,ON,43.8091,-79.2325,6
CA,M1B 1X5,Scarborough,Ontario,ON,43.8089,-79.2324,6
CA,M1B 1X6,Scarborough,Ontario,ON,43.8096,-79.2323,6
CA,M1B 1X7,Scarborough,Ontario,ON,43.8107,-79.2326,6
CA,M1B 1X8,Scarborough,Ontario,ON,43.8129,-79.2328,6
CA,M1B 1X9,Scarborough,Ontario,ON,43.813,-79.2329,6
CA,M1B 1Y1,Scarborough,Ontario,ON,43.8137,-79.2302,6
CA,M1B 1Y2,Scarborough,Ontario,ON,43.8138,-79.229,6
CA,M1B 1Y3,Scarborough,Ontario,ON,43.8136,-79.2285,6
CA,M1B 1Y4,Scarborough,Ontario,ON,43.8097,-79.2351,6
CA,M1B 1Y5,Scarborough,Ontario,ON,43.8005,-79.2329,6
CA,M1B 1Y6,Scarborough,Ontario,ON,43.8008,-79.2314,6
CA,M1B 1Y7,Scarborough,Ontario,ON,43.8026,-79.2322,6
CA,M1B 1Y8,Scarborough,Ontario,ON,43.801,-79.2314,6
CA,M1B 1Y9,Scarborough,Ontario,ON,43.8079,-79.2376,6
CA,M1B 1Z1,Scarborough,Ontario,ON,43.8017,-79.2318,6
CA,M1B 1Z2,Scarborough,Ontario,ON,43.8026,-79.2322,6
CA,M1B 1Z3,Scarborough,Ontario,ON,43.7913,-79.2298,6
CA,M1B 1Z4,Scarborough,Ontario,ON,43.8069,-79.2367,6
CA,M1B 1Z5,Scarborough,Ontario,ON,43.803,-79.1729,6
CA,M1B 1Z6,Scarborough,Ontario,ON,43.803,-79.1729,6
CA,M1B 1Z7,Scarborough,Ontario,ON,43.7919,-79.2329,6
CA,M1B 1Z8,Scarborough,Ontario,ON,43.7915,-79.23,6
CA,M1B 1Z9,Scarborough,Ontario,ON,43.7905,-79.2329,6
CA,M1B 2A1,Scarborough,Ontario,ON,43.8089,-79.2379,6
CA,M1B 2A2,Scarborough,Ontario,ON,43.7983,-79.2143,6
CA,M1B 2A3,Scarborough,Ontario,ON,43.7974,-79.2149,6
CA,M1B 2A4,Scarborough,Ontario,ON,43.7977,-79.2124,6
CA,M1B 2A5,Scarborough,Ontario,ON,43.7977,-79.2123,6
CA,M1B 2A6,Scarborough,Ontario,ON,43.7968,-79.2137,6
CA,M1B 2A7,Scarborough,Ontario,ON,43.7976,-79.2138,6
CA,M1B 2A8,Scarborough,Ontario,ON,43.7973,-79.2116,6
CA,M1B 2A9,Scarborough,Ontario,ON,43.7967,-79.2117,6
CA,M1B 2B1,Scarborough,Ontario,ON,43.799,-79.213,6
CA,M1B 2B2,Scarborough,Ontario,ON,43.7991,-79.2128,6
CA,M1B 2B3,Scarborough,Ontario,ON,43.7983,-79.2125,6
CA,M1B 2B4,Scarborough,Ontario,ON,43.7975,-79.2117,6
CA,M1B 2B5,Scarborough,Ontario,ON,43.7978,-79.2092,6
CA,M1B 2B6,Scarborough,Ontario,ON,43.7981,-79.2083,6
CA,M1B 2B7,Scarborough,Ontario,ON,43.7981,-79.2085,6
CA,M1B 2B8,Scarborough,Ontario,ON,43.7981,-79.2085,6
CA,M1B 2B9,Scarborough,Ontario,ON,43.7978,-79.2095,6
CA,M1B 2C1,Scarborough,Ontario,ON,43.7978,-79.2095,6
CA,M1B 2C2,Scarborough,Ontario,ON,43.7991,-79.2103,6
